edition_text,name,notice_category,notice_code,notice_deadline,notice_id,notice_specifics,notice_timeline,notice_type,publication_date
The London Gazette,WKPH LTD,Corporate Insolvency,2441,,4570491,"Resolutions for Winding Up,Redbridge,North Northamptonshire,IG8 0DY,51.607113,0.032519,NN8 1BS,52.300448,-0.692616,2024-03-05,2024-03-06,TSO (The Stationery Office), customer.services@thegazette.co.uk,2441,4570491,WKPH LTD,(Company Number: ,12246307,)        ,trading as ,Wellingborough Kebab,Registered Office: ,24 Sheep Street,, ,Wellingborough,NN8 1BS,Principal Trading Address: ,24 Sheep Street,, ,Wellingborough,NN8 1BS,Nature of Business: ,Take-away business,At a ,General Meeting, of the Members of the above-named Company, duly convened, and held at on ,Tuesday 05 March 2024,, the following Resolution/s was/were duly passed:        ,1. ,(Special Resolution) ,""That the Company be wound up voluntarily"",2. ,(Ordinary Resolution) ,""That Zain Iqbal of Cooper Young, Hunter House, 109 Snakes Lane West, Woodford Green         IG8 0DY be appointed Liquidator of the Company"".,For further details, please contact: ,Zain Iqbal,, (,25034,), ,109 Snakes Lane,, ,Woodford Green,, ,Essex,IG8 0DY,, Telephone: ,02084980163,, Email address: ,zainiqbal@cyca.co.uk,.        ,Murat Kaya,, ,Chairman","Notice timeline for WKPH LTD (12246307),Resolutions for Winding Up,06/03/2024,4570493 ,Appointment of Liquidators,06/03/2024",Resolutions for Winding Up,6 March 2024
The London Gazette,WKPH LTD,Corporate Insolvency,2443,,4570493,"Appointment of Liquidators,Redbridge,North Northamptonshire,IG8 0DY,51.607113,0.032519,NN8 1BS,52.300448,-0.692616,2024-03-05,2024-03-06,TSO (The Stationery Office), customer.services@thegazette.co.uk,2443,4570493,Name of Company: ,WKPH LTD,Company Number: ,12246307,Company Type: ,Registered Company,Nature of the business: ,Take-away business,Trading as: ,Wellingborough Kebab,Type of Liquidation: ,Creditors' Voluntary,Registered office: ,24 Sheep Street,, ,Wellingborough,NN8 1BS,Principal trading address: ,24 Sheep Street,, ,Wellingborough,NN8 1BS,Office Holder/s: ,Zain Iqbal,, of ,109 Snakes Lane,, ,Woodford Green,, ,Essex,IG8 0DY,, Telephone: ,02084980163,, Email address: ,zainiqbal@cyca.co.uk,Office Holder Number/s: ,25034,Date of appointment: ,05 March 2024,By whom Appointed: ,Members and Creditors","Notice timeline for WKPH LTD (12246307),4570491 ,Resolutions for Winding Up,06/03/2024,Appointment of Liquidators,06/03/2024",Appointment of Liquidators,6 March 2024
The London Gazette,J&N,Corporate Insolvency,2442,,4570429,"Meetings of Creditors,Chorley,Richmond upon Thames,PR7 4EX,53.613679,-2.605206,TW9 2NQ,51.464131,-0.301698,Insolvency Act 1986,Insolvency Act 1986, s. 100,the Insolvency (England and Wales) Rules 2016,2024-03-05,2024-03-06,2024-03-12,TSO (The Stationery Office), customer.services@thegazette.co.uk,4570429,J&N,Trading Name: ,Uncle Jim Ltd,(Company Number ,10187527,)        ,Registered office: ,59 Kew Road, Richmond, TW9 2NQ,Principal trading address: ,59 Kew Road, Richmond, TW9 2NQ,Nature of Business: Take-away food shops and mobile food stands.,Type of Liquidation: Creditors Voluntary Liquidation.,Date of meeting:       ,12 March 2024.         ,NOTICE IS HEREBY GIVEN pursuant to Rule 15.13 of the Insolvency (England and Wales)       Rules 2016, that a virtual meeting of the creditors of the above named Company will       be held on the date and time specified in this notice for the purposes mentioned in       Section 100 of the Insolvency Act 1986. The Insolvency Practitioner named below is       qualified to act in this matter. A list of names and addresses of the Company's creditors       may be inspected, free of charge, at the address given below, between 10.00am and       4.00pm on the two business days preceding the date of the meeting.        ,Creditors entitled to attend and vote at the virtual meeting may participate either       in person or by proxy. A creditor can attend the virtual meeting and vote, and is       entitled to vote if they have delivered proof of their debt by no later than 4 pm       on the business day before the meeting. If a creditor cannot attend, or does not wish       to attend, but still wishes to vote at the virtual meeting, they can ether nominate       a person to attend on their behalf, or they may nominate the Chairman of the virtual       meeting, who will be a director of the Company, to vote on their behalf. Such creditors       must still submit the proof of their claim by no later than 4 pm on the business day       before the meeting but proxies will be accepted by the Chairman up to the commencement       of the virtual meeting. For the purposes of voting, any secured creditors are required       (unless they surrender their security) to lodge a statement with the Insolvency Practitioners       prior to the Meeting, giving particulars of their security, the date when it was given       and its assessed value. Creditors must deliver proof of their claim and their proxy       using the details provided below.        ,By Order of the Board,Fady Zaya, Director ,Insolvency Practitioner's Name and Address: ,Rikki ,Burton ,(IP No. 14430) , of Anderson Brookes Insolvency Practitioners Limited, ,1st Floor, Fairclough House, Church Street, Chorley, Lancashire, PR7 4EX. ,For further information contact ,Samaya ,Fletcher ,at the offices of Anderson Brookes Insolvency Practitioners Limited on ,01204255051,, or ,samaya@andersonbrookes.co.uk,. ,5 March 2024","Notice timeline for J&N (10187527),Meetings of Creditors,06/03/2024",Meetings of Creditors,"6 March 2024, 10:40"
The London Gazette,PHIL REED CERAMICS LIMITED,Corporate Insolvency,2441,,4570430,"Resolutions for Winding-up,Chorley,Doncaster,DN12 1DN,53.482001,-1.194668,PR7 4EX,53.613679,-2.605206,2024-02-28,2024-03-05,2024-03-06,TSO (The Stationery Office), customer.services@thegazette.co.uk,4570430,PHIL REED CERAMICS LIMITED,(Company Number ,09129770,)        ,Registered office: ,1st Floor, Fairclough House, Church Street, Chorley, PR7 4EX,Principal trading address: ,16 Bungalow Road, Edlington, Doncaster, DN12 1DN,Nature of Business: Floor and wall covering.,Type of Liquidation: Creditors Voluntary Liquidation.,Place of meeting: ,Virtual Meeting.,Date of meeting: ,28 February 2024.,Notice is given that at a General Meeting of the Company, duly convened and held at       the place and on the date given above, a special resolution was passed that the company       be wound up voluntarily; and an ordinary resolution was passed appointing the Liquidator       for the purposes of the winding-up.        ,Date of Appointment:         			28 February 2024,Liquidator's Name and Address: ,Rikki ,Burton ,(IP No. 14430) , of Anderson Brookes Insolvency Practitioners Limited, ,1st Floor, Fairclough House, Church Street, Chorley, Lancashire, PR7 4EX. ,For further information contact ,Steven ,Marshall ,at the offices of Anderson Brookes Insolvency Practitioners Limited on ,01204255051,, or ,steven@andersonbrookes.co.uk,. ,5 March 2024","Notice timeline for PHIL REED CERAMICS LIMITED (09129770),4558795 ,Meetings of Creditors,21/02/2024,4570431 ,Appointment of Liquidators,06/03/2024,Resolutions for Winding-up,06/03/2024",Resolutions for Winding-up,"6 March 2024, 10:40"
The London Gazette,Dawn Wray,Personal Legal,2903,7 May 2024,4570517,"Deceased Estates,York,YO1 7PP,53.961177,-1.074877,YO30 5ZB,53.979018,-1.098514,Trustee Act 1925,Trustee Act 1925, s. 27,2022-09-06,2024-03-06,2024-05-07,TSO (The Stationery Office), customer.services@thegazette.co.uk,2903,4570517,Details of the deceased,Deceased Surname:,Wray,Deceased First name:,Dawn,Deceased Title:,Miss,Date of Death:,6 September 2022,Reference Number: ,WRA84/1,Claims Date:,7 May 2024,Last address of the deceased,Address Line 1:,22 Hendon Garth,Town:,York,County:,North Yorkshire,Postcode:,YO30 5ZB,Details of the Executor/Administrator,Executor/Administrator Company Name: ,Deborah Gilpin c/o Ware and Kay Solicitors,Address 1:,Sentinel House, Peasholme Green,Town:,York,Postcode:,YO1 7PP ,Legal information,Notice is hereby given pursuant to section 27 (Deceased Estates) of the Trustee Act         1925, that any person having a claim against or an interest in the estate of any of         the deceased persons whose names and addresses are set out above is hereby required         to send particulars in writing of his claim or interest to the person or persons whose         names and addresses are set out above, and to send such particulars before the date         specified in relation to that deceased person displayed above, after which date the         personal representatives will distribute the estate among the persons entitled thereto         having regard only to the claims and interests of which they have had notice and will         not, as respects the property so distributed, be liable to any person of whose claim         they shall not then have had notice.",,Deceased Estates,6 March 2024
The London Gazette,Valerie Martin,Personal Legal,2903,7 May 2024,4570508,"Deceased Estates,Solihull,Birmingham,B3 2RT,52.482911,-1.900778,B90 4XA,52.391667,-1.783084,Trustee Act 1925,Trustee Act 1925, s. 27,2023-10-12,2024-03-06,2024-05-07,TSO (The Stationery Office), customer.services@thegazette.co.uk,2903,4570508,Details of the deceased,Deceased Surname:,Martin,Deceased First name:,Valerie,Deceased Middle name(s):,June,Deceased Title:,Mrs,Previous name/any other name/also known as name:,Valerie Martin, Valerie June Jeffries,Date of Death:,12 October 2023,Reference Number: ,JOB/MAR1251/2,Claims Date:,7 May 2024,Last address of the deceased,Address Line 1:,Flat 37, Priory Court, 3 Shelly Crescent,Town:,Solihull,County:,West Midlands,Postcode:,B90 4XA,Details of the Executor/Administrator,Executor/Administrator Company Name: ,Joel Blake c/o The Wilkes Partnership,Address 1:,41 Church Street,Town:,Birmingham,Postcode:,B3 2RT,Legal information,Notice is hereby given pursuant to section 27 (Deceased Estates) of the Trustee Act         1925, that any person having a claim against or an interest in the estate of any of         the deceased persons whose names and addresses are set out above is hereby required         to send particulars in writing of his claim or interest to the person or persons whose         names and addresses are set out above, and to send such particulars before the date         specified in relation to that deceased person displayed above, after which date the         personal representatives will distribute the estate among the persons entitled thereto         having regard only to the claims and interests of which they have had notice and will         not, as respects the property so distributed, be liable to any person of whose claim         they shall not then have had notice.",,Deceased Estates,6 March 2024
The London Gazette,Peter Green,Personal Legal,2903,7 May 2024,4570502,"Deceased Estates,Westmorland and Furness,CA11 7AY,54.663162,-2.751267,CA16 6DL,54.641933,-2.501441,Trustee Act 1925,Trustee Act 1925, s. 27,2023-12-26,2024-03-06,2024-05-07,TSO (The Stationery Office), customer.services@thegazette.co.uk,2903,4570502,Details of the deceased,Deceased Surname:,Green,Deceased First name:,Peter,Deceased Middle name(s):,William,Deceased Title:,Mr,Date of Death:,26 December 2023,Reference Number: ,NB/G337/3,Claims Date:,7 May 2024,Last address of the deceased,Address Line 1:,Silverband Park Garage,Town:,Appleby-in-Westmorland,Postcode:,CA16 6DL,Details of the Executor/Administrator,Executor/Administrator Company Name: ,Nicola Broyan c/o Scott Duff & Co,Address 1:,40 King Street,Town:,Penrith,Postcode:,CA11 7AY,Legal information,Notice is hereby given pursuant to section 27 (Deceased Estates) of the Trustee Act         1925, that any person having a claim against or an interest in the estate of any of         the deceased persons whose names and addresses are set out above is hereby required         to send particulars in writing of his claim or interest to the person or persons whose         names and addresses are set out above, and to send such particulars before the date         specified in relation to that deceased person displayed above, after which date the         personal representatives will distribute the estate among the persons entitled thereto         having regard only to the claims and interests of which they have had notice and will         not, as respects the property so distributed, be liable to any person of whose claim         they shall not then have had notice.",,Deceased Estates,6 March 2024
The London Gazette,Philip ANFORTH,Personal Legal,2903,7 May 2024,4570510,"Deceased Estates,Dorset,DT1 1TT,50.714052,-2.438192,DT2 7EL,50.750178,-2.298579,Trustee Act 1925,Trustee Act 1925, s. 27,2023-02-11,2024-03-06,2024-05-07,TSO (The Stationery Office), customer.services@thegazette.co.uk,2903,4570510,Details of the deceased,Deceased Surname:,ANFORTH,Deceased First name:,Philip,Deceased Middle name(s):,Arthur,Deceased Title:,Mr,Previous name/any other name/also known as name:,Philip ANFORTH,Date of Death:,11 February 2023,Reference Number: ,Anforth/1316/2,Claims Date:,7 May 2024,Last address of the deceased,Address Line 1:,21 Main Road,Town:,Dorchester,Postcode:,DT2 7EL,Details of the Executor/Administrator,Executor/Administrator Company Name: ,John Blackburn c/o Blackburn & Co,Address 1:,33 Trinity Street,Town:,Dorchester,Postcode:,DT1 1TT,Legal information,Notice is hereby given pursuant to section 27 (Deceased Estates) of the Trustee Act         1925, that any person having a claim against or an interest in the estate of any of         the deceased persons whose names and addresses are set out above is hereby required         to send particulars in writing of his claim or interest to the person or persons whose         names and addresses are set out above, and to send such particulars before the date         specified in relation to that deceased person displayed above, after which date the         personal representatives will distribute the estate among the persons entitled thereto         having regard only to the claims and interests of which they have had notice and will         not, as respects the property so distributed, be liable to any person of whose claim         they shall not then have had notice.",,Deceased Estates,6 March 2024
The London Gazette,JASON ILESLEY,Personal Insolvency,2509,,4570506,"Notice of Intended Dividend,Birmingham,Basildon,B2 2JX,52.495968,-1.894209,SS15 5PB,51.577556,0.436732,the Insolvency (England and Wales) Rules 2016,1971-08-31,2001-01-08,2024-03-06,2024-04-10,TSO (The Stationery Office), customer.services@thegazette.co.uk,2509,4570506,In the ,County Court at Southend, No. ,9, of ,2001,JASON,ILESLEY,Formerly in bankruptcy,Date of bankruptcy order: ,08 January 2001,4 Sains,, ,Basildon,SS15 5PB,NOTE: the above-named was discharged from the proceedings and may no longer have a       connection with the addresses listed.        ,31 August 1971,a digital print operator,Notice is hereby given, pursuant to ,Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that the ,Official Receiver,, having been appointed on ,08 January 2001, intend(s) to declare a(n) ,First dividend, to all ,Creditors, of the Bankrupt's estate within ,2 months, of the last date for proving specified below.        ,Creditors who have not yet done so must prove their debts or claims and the names       and addresses, particulars of their debts by sending their full names and addresses       of their solicitors (if any), to the ,Official Receiver, using the details specified below.        ,The ,Official Receiver, is/are not obliged to deal with proofs lodged after the last date for proving. Creditors       who have not proved their debts by ,23:59 on 10 April 2024, may be excluded from the benefit of the dividend or any other dividend declared before       their debt is proved.        ,Office holder details: ,Lindsey Haselgrove,, ,Po Box 16665,, ,Birmingham,B2 2JX,, ,03006780015,, ,LTADT.Chatham@insolvency.gov.uk,, (,BKT01009143,).        ",,Notice of Intended Dividend,6 March 2024
The London Gazette,S.B.S. ECLIPSE LIMITED,Corporate Insolvency,2441,,4570428,"Resolutions for Winding-up,Chorley,Barking and Dagenham,IG11 0RJ,51.531307,0.120798,PR7 4EX,53.613679,-2.605206,2024-02-28,2024-03-05,2024-03-06,TSO (The Stationery Office), customer.services@thegazette.co.uk,4570428,S.B.S. ECLIPSE LIMITED,(Company Number ,03651221,)        ,Registered office: ,First Floor, Fairclough House, Church Street, Adlington, PR7 4EX,Principal trading address: ,Unit 13 Rippleside Comercial, Estate, Barking, Essex, IG11 0RJ,Nature of Business: Repair of machinery.,Type of Liquidation: Creditors Voluntary Liquidation.,Place of meeting: ,Virtual Meeting.,Date of meeting: ,28 February 2024.,Notice is given that at a General Meeting of the Company, duly convened and held at       the place and on the date given above, a special resolution was passed that the company       be wound up voluntarily; and an ordinary resolution was passed appointing the Liquidator       for the purposes of the winding-up.        ,Date of Appointment:         			28 February 2024,Liquidator's Name and Address: ,Rikki ,Burton ,(IP No. 14430) , of Anderson Brookes Insolvency Practitioners Limited, ,1st Floor, Fairclough House, Church Street, Chorley, Lancashire, PR7 4EX. ,For further information contact ,Samaya ,Fletcher ,at the offices of Anderson Brookes Insolvency Practitioners Limited on ,01204255051,, or ,samaya@andersonbrookes.co.uk,. ,5 March 2024","Notice timeline for S.B.S. ECLIPSE LIMITED (03651221),4558800 ,Meetings of Creditors,21/02/2024,4570427 ,Appointment of Liquidators,06/03/2024,Resolutions for Winding-up,06/03/2024",Resolutions for Winding-up,"6 March 2024, 10:40"
